name_full,IronMan_Rank,Good_IronMan_Rank,team,pos,ADP,Good_IronMan_Score,IronMan_Score,DurabilityZ,ProductionZ,EfficiencyZ,MinutesZ,ValueZ,GP,MIN,Weighted_GP,GP_Median,Durability_Composite,Durability_Penalty,Seasons_Used,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,FG3M_PG,FG3_PCT,FT_PCT,TOV_PG,DD2_PG
Tim Hardaway Jr.,194,115,DEN,"SG,SF",,0.6085708232593502,0.0,1.4647670280282665,-0.11155284767272262,0.3364257555856633,0.9057500492041327,0.05974338770422443,77,2152.795,77.0,77.0,76.42222222222222,0.5777777777777778,"2024-25,2023-24,2022-23",10.96103896103896,2.3766233766233764,1.5974025974025974,0.4935064935064935,0.09090909090909091,2.1818181818181817,0.368,0.855,0.6233766233766234,0.0
Ochai Agbaji,194,156,TOR,"SG,SF",,0.4892665726845285,0.0,0.9166762367429563,0.13090889246264323,0.35116260501144325,0.823507047705104,0.2299018398805659,64,1738.67,67.70000000000002,64.0,63.35666666666667,3.233333333333334,"2024-25,2023-24,2022-23",10.421875,3.78125,1.53125,0.90625,0.46875,1.578125,0.399,0.708,0.84375,0.0
Kevin Huerter,194,149,CHI,"SG,SF",,0.5038079045707523,0.0,1.0845666211472162,0.1508539161831524,0.04819844819302415,0.5291449563385229,0.15990355584739951,69,1678.9933333333333,68.10000000000001,69.0,67.3588888888889,1.011111111111111,"2024-25,2023-24,2022-23",9.869565217391305,2.971014492753623,2.260869565217391,0.9565217391304348,0.3333333333333333,1.9130434782608696,0.338,0.714,0.9710144927536232,0.0
Haywood Highsmith,194,168,BKN,"SF,PF",,0.4440705738079699,0.0,0.9915790262314754,-0.022622037613924766,0.282438891804748,0.5539474979573193,0.09363967998750448,74,1818.3266666666666,69.60000000000002,66.0,65.14222222222223,3.377777777777778,"2024-25,2023-24,2022-23",6.45945945945946,3.4054054054054053,1.5135135135135136,0.918918918918919,0.5,1.2027027027027026,0.382,0.721,0.7297297297297297,0.0
James Johnson,194,540,IND,PF,,-1.19559521045451,0.0,-1.2758733696913502,-1.0294718320093728,-1.3672856488711038,-1.6817634442784872,-0.334484878762157,12,36.61666666666667,11.700000000000003,12.0,11.090000000000002,0.7000000000000001,"2024-25,2023-24,2022-23",0.6666666666666666,0.5,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
Tolu Smith,194,506,DET,C,,-0.9115615713639044,0.0,-1.6991417152702182,-0.3798410589463921,-0.39984230838630136,0.3231123435041517,-0.008032876027773684,1,22.35,1.0,1.0,1.0,0.0,2024-25,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.667,2.0,0.0
Mouhamadou Gueye,194,500,CHI,C,,-0.8711765063753679,0.0,-1.2796488058758992,-0.2849296624728368,-1.2267255951793674,-0.866000873582749,-0.13018227937433927,11,119.94166666666666,11.0,11.0,11.0,0.0,2023-24,2.3636363636363638,2.090909090909091,0.45454545454545453,0.2727272727272727,1.6363636363636365,0.0,0.0,0.444,1.0909090909090908,0.0
Jason Preston,194,532,LAC,PG,,-1.096171927638823,0.0,-1.3605759796465533,-0.6505068973226498,-1.4586938842557096,-0.9430729224384992,-0.15064437036436806,7,71.13333333333334,9.333333333333334,10.5,9.070833333333333,0.6125,"2023-24,2022-23",1.7142857142857142,2.4285714285714284,2.2857142857142856,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.2857142857142857,0.0
Jazian Gortman,194,492,OKC,PG,,-0.8251280031043973,0.0,-1.0699023511787398,-0.9738842153739117,-0.0380668824166831,-1.6311545790345316,-0.309671074835435,16,56.61666666666667,16.0,16.0,16.0,0.0,2024-25,1.5,0.3125,0.375,0.125,0.0625,0.25,0.364,0.5,0.3125,0.0
Thanasis Antetokounmpo,194,471,MIL,PF,,-0.6981264779327521,0.0,-0.2712927249193053,-0.9648423503919089,-1.0183622390413318,-1.523841547456529,-0.7731643777099851,34,155.43166666666667,35.0,35.5,35.0375,0.1125,"2023-24,2022-23",0.9411764705882353,0.38235294117647056,0.5,0.20588235294117646,0.11764705882352941,0.0,0.0,0.0,0.4117647058823529,0.0
Phillip Wheeler,194,531,ORL,PF,,-1.049908719547459,0.0,-1.5313445515124906,-0.7898968560925511,-0.6070607825272112,-1.0763154852550625,-0.07384197313988036,5,44.39666666666667,5.0,5.0,5.0,0.0,2024-25,1.6,1.6,0.4,0.2,0.4,0.0,0.0,1.0,0.2,0.0
Riley Minix,194,550,SAS,SF,,-1.509112475117033,0.0,-1.6991417152702182,-1.0391902943069322,-2.068898356430865,-1.2975256448639376,-0.035858406747740754,1,6.75,1.0,1.0,1.0,0.0,2024-25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Travers,194,516,CLE,SF,,-0.9686966385580832,0.0,-1.2376995149364673,-0.9276658157965346,-0.512752531324412,-1.2381368809739532,-0.1967923926396025,12,87.86,12.0,12.0,11.999999999999998,0.0,2024-25,1.0,1.6666666666666667,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,1.0,0.6666666666666666,0.0
Olivier Sarr,194,467,TOR,C,,-0.6886129249165286,0.0,-1.2272121922016095,-0.7723895530959746,0.5561388660125248,-1.3186378021340603,-0.12314833521130372,15,98.20166666666667,13.000000000000002,12.0,12.250000000000002,0.45,"2023-24,2022-23",2.2666666666666666,2.4,0.13333333333333333,0.0,0.4666666666666667,0.13333333333333333,0.333,0.667,0.2,0.0
Sidy Cissoko,194,503,POR,"SF,PF",,-0.8807893268580049,0.0,-1.0314488344842607,-0.9480123542995452,-0.44502425672241297,-1.458251504413535,-0.45528148101851623,22,114.46333333333334,18.666666666666668,17.0,16.916666666666664,1.25,"2024-25,2023-24",1.4545454545454546,0.9545454545454546,0.6818181818181818,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.231,0.333,0.5,0.0
Isaiah Crawford,194,501,HOU,SF,,-0.8777253079641059,0.0,-1.1118516421181717,-1.0226967096783846,-0.11952983622741675,-1.6824848821294345,-0.2685883289622122,15,45.666666666666664,15.0,15.0,15.0,0.0,2024-25,0.8666666666666667,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.2,0.5,0.06666666666666667,0.0
Jules Bernard,194,462,MIN,"SG,SF",,-0.6507699659471021,0.0,-0.9440544783604442,-0.7631245315863183,0.16050819015801462,-1.1825664218361402,-0.2536886758151877,19,149.275,19.0,19.0,19.0,0.0,2023-24,3.8947368421052633,1.368421052631579,0.8421052631578947,0.15789473684210525,0.05263157894736842,0.5789473684210527,0.379,0.556,0.42105263157894735,0.0
Miles Norris,194,508,BOS,"SF,PF",,-0.9307021182408701,0.0,-1.6152431333913544,-0.4828611082156787,-0.4573021079902847,-0.7896333977970151,-0.038682245889393695,3,34.916666666666664,3.0,3.0,2.9999999999999996,0.0,2024-25,2.3333333333333335,3.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.286,0.5,0.0,0.0
Trey Alexander,194,476,NOP,SG,,-0.7357845108282994,0.0,-0.734308023663285,-1.0008461692929347,-0.20861416822905737,-1.4913543522779575,-0.43170004824714,24,117.22166666666666,24.0,24.0,23.999999999999996,0.0,2024-25,1.3333333333333333,0.5,0.4583333333333333,0.08333333333333333,0.041666666666666664,0.125,0.176,0.75,0.20833333333333334,0.0
TyTy Washington Jr.,194,513,LAC,PG,,-0.939260628789523,0.0,-1.221385901793355,-0.880796328630975,-0.4919386830989549,-1.2303345306159577,-0.3053311770351723,16,118.34833333333333,16.000000000000004,16.0,12.38888888888889,3.6111111111111116,"2024-25,2023-24,2022-23",2.1875,0.8125,1.0,0.1875,0.0,0.25,0.19,0.5,0.1875,0.0
Nae'Qwan Tomlin,194,486,CLE,PF,,-0.7732853037679881,0.0,-1.5313445515124906,-0.37448008869107596,-0.05477723843280691,-0.6814754351829909,-0.044354073779057354,5,63.4,5.0,5.0,5.0,0.0,2024-25,7.2,4.2,0.4,0.0,0.2,0.4,0.2,0.727,0.4,0.2
Kevin McCullar Jr.,194,519,NYK,"SF,PF",,-0.9938220646358938,0.0,-1.5732938424519225,-0.7957878055370343,-0.23094702720155502,-1.2412534924900454,-0.04281559656533495,4,29.166666666666668,4.0,4.0,4.0,0.0,2024-25,1.5,2.0,0.5,0.25,0.25,0.0,0.0,1.0,0.0,0.0
Charlie Brown Jr.,194,541,MEM,SG,,-1.1993936744368392,0.0,-1.405496678694195,-1.00033250964707,-1.1853099955016655,-1.5146062942139902,-0.24836001926205575,8,37.28333333333333,8.0,8.0,8.0,0.0,2023-24,0.75,0.25,0.0,0.0,0.25,0.25,0.286,0.0,0.25,0.0
